timeseries-length mean 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100
0.1 1.92497868643e-08 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 1.51877173483e-08 2.75434797238e-08 7.66895793695e-08 7.66895793695e-08 7.66895793695e-08 7.66895793695e-08 7.66895793695e-08
0.2 0.0577495092322 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 9.89239061596e-09 9.89239061596e-09 9.89239061596e-09 9.89239061596e-09 9.89239061596e-09 9.89239061596e-09 1.04696170056e-08 7.66895793695e-08 7.66895793695e-08 7.66895793695e-08 3.63051677354
0.3 0.123039110545 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 9.89239061596e-09 7.66895793695e-08 7.66895793695e-08 7.66895793695e-08 7.66895793695e-08 1.1637920067 2.80211643136
0.4 0.243988908113 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 0.78067795325 1.25431448445 1.77370286371 2.46052563529
0.5 0.373216813013 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 9.89239061596e-09 0.220513998624 1.14425995971 1.29255100814 1.52498161502 1.73529707438 2.31448569299
0.6 0.617045445377 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 6.01503531053e-09 0.540409756036 0.745966865419 0.87712163147 0.969565678199 1.06642267048 1.16305228324 1.25256147055 1.35920520533 1.55650226248 1.67367021165 2.75367807537
0.7 0.676284121555 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 5.90254674161e-09 0.606565101427 0.749807069793 0.880561095437 0.967361122384 1.01739870186 1.06538414912 1.17781682283 1.2693921358 1.46441652217 1.564146606 1.70249321944 2.31246140376
0.8 0.783207946259 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 0.726744601607 0.84832545248 0.977174000189 1.02684402409 1.09757760233 1.17212209235 1.24516587056 1.30787434064 1.37604414364 1.43908128761 1.53381228762 1.76735222717 2.14953169041
0.9 0.82682255247 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 0.4527731788 0.593560821666 0.809474569794 0.86838184044 0.966118610142 1.05482527881 1.09992030469 1.1582961209 1.17285804458 1.26228015616 1.38806005445 1.48729638207 1.5405469648 1.72114286715 2.09004897768
1.0 0.879786062041 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 0.353854465881 0.675452129129 0.798224071563 0.850846854355 0.924927447862 0.978974345303 1.04868454966 1.11988164119 1.18422748046 1.24674720064 1.29391429 1.37628129453 1.4592089376 1.61149993802 1.82218145726 1.99408938995
1.1 0.923466639807 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 0.378105869482 0.67368258286 0.756185811585 0.816737361064 0.913543078076 0.977432461192 1.04209762476 1.09625312878 1.14338934081 1.19356473028 1.23925371627 1.3330292777 1.37499323079 1.47969839756 1.57523041315 1.69887923358 1.87890188037
1.2 0.984989773046 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 0.342466502571 0.612129097843 0.731778821165 0.80124702902 0.9231686356 0.999948067329 1.04882338964 1.09062675028 1.12373905708 1.19924884235 1.24314102696 1.32637768417 1.35984627789 1.42543630242 1.46310090959 1.56427229844 1.66526795239 2.06137863654
1.3 1.02258809424 2.12322471066e-11 2.12322471066e-11 2.12322471066e-11 0.628653468249 0.696726514741 0.75839879118 0.856120844138 0.929322505008 1.02654908927 1.06572533927 1.12266691748 1.16119219008 1.21531149926 1.27074860692 1.30175635851 1.37674326462 1.41887269569 1.51616066168 1.5700191874 1.61399775021 1.89861562086
1.5 1.07690128362 2.12322471066e-11 1.21330483051e-09 0.678753967317 0.711446371044 0.777567701176 0.893276232876 0.948520161747 1.00048882053 1.04141856955 1.10147904188 1.14547515245 1.17653499221 1.20583337035 1.24313509517 1.28397120238 1.33844270086 1.42695050758 1.47120910706 1.53009231404 1.62270378206 1.71579237473
1.4 1.04749784309 2.12322471066e-11 2.12322471066e-11 0.368068765749 0.685406671132 0.756383659102 0.833283884548 0.911390315322 0.965045269399 1.02064772036 1.07480985558 1.12730219896 1.19624260272 1.22970585741 1.2620569917 1.30967016313 1.36383086495 1.40645200588 1.46865115693 1.56376393086 1.65727512713 1.79398158713
1.6 1.08902759351 2.12322471066e-11 0.28095990845 0.703039128026 0.751287009066 0.871665593343 0.906257428014 0.978175355329 1.01712639744 1.05917246295 1.11057795661 1.14554020478 1.18414604699 1.22427700833 1.25604216316 1.30094177615 1.3564144962 1.38444158836 1.43674481887 1.47667917515 1.57546783198 1.71944231021
1.7 1.12104215706 2.12322471066e-11 0.629181111926 0.677619397556 0.81750881899 0.867345908674 0.935571470629 0.975103544168 1.02289575598 1.07537431873 1.11593577558 1.15741448477 1.20932290586 1.26625628731 1.29398897028 1.3335664225 1.36280751247 1.39772029448 1.45971641558 1.49286937831 1.57927494786 1.67982143655
